community,children,sex,age,treatment,deaths,persontime
DJANDJAMA:GUILLADJE:BOBOYE-2,96,0.54166669,26.291666,1,1,66053.5
DJANTEGA (MAROU BERI:KOFFO:BOBOYE-4,66,0.62121212,33.151516,0,1,48240.5
DJAROUDJE:GUILLADJE:BOBOYE-2,46,0.65217394,28.673914,1,1,20347.5
DJEYI BANGOU:FABIDJI:BOBOYE-2,71,0.45070422,29.140844,1,5,55587.5
DJIANKOTA:BELANDE:BOBOYE-1,99,0.46464646,29.939394,0,6,43288
DJIBO DEY (Loga):LOGA:LOGA-2,152,0.53947371,29.611841,0,10,107018.5
DJOUGOUDEY:TONKOSSARE:BOBOYE-5,55,0.47272727,30.745455,0,2,60078.5
DOLDOL:BIRNI:BOBOYE-1,262,0.53435117,32.793892,1,11,184588.5
DOLLOGA DJERMA:FABIDJI:BOBOYE-2,354,0.50847459,27.711864,0,22,202879
DOLLOGA PEULH:FABIDJI:BOBOYE-2,37,0.48648649,29.783783,1,1,20554
DONOUDIBI DJERMA:BIRNI:BOBOYE-1,151,0.47682118,28.337748,0,3,102789
DORODJI:KOURO BERI:LOGA-1,161,0.50310558,30.981367,1,4,95093.5
DOSSADO:KOISSI:BOBOYE-4,62,0.5,32.790321,1,2,40316
DOU ZARMA (KOYDOU ZARMA):YENI:BOBOYE-5,94,0.67021275,31.468084,1,2,84483.5
DOUBI DANA ALI:KARRA:BOBOYE-3,104,0.58653843,31.701923,0,5,61401
DOUBI DANA DJERMA:KARRA:BOBOYE-3,94,0.59574467,31.414894,1,4,69393
DOUBI DANA FOGA:KARRA:BOBOYE-3,87,0.43678162,29.597702,1,3,80039.5
DOULOUWEL BELLE:HARIKANASSOU:BOBOYE-3,71,0.57746476,29.774649,0,1,66638.5
DOULOUWEL DJERMA:HARIKANASSOU:BOBOYE-3,62,0.48387095,35.564518,0,4,52121.5
DOULOUWEL PEULH:HARIKANASSOU:BOBOYE-3,74,0.44594595,34.945946,0,5,71395
DOUNDOU GOROU:TEGUEZE KOIRA:LOGA-2,78,0.44871795,33.487179,1,2,53993.5
DOURGOUNA:SOKORBE:LOGA-2,101,0.5247525,31.712872,1,7,89471
FADA:BIRNI:BOBOYE-1,147,0.48979592,31.503401,0,1,82533
FAKARA KALLEY:KOGOU:LOGA-1,121,0.48760331,27.23967,1,11,81491.5
FALMADO:SABOULA:BOBOYE-5,180,0.51666665,28.6,0,7,109978.5
FALMEY KAINA:FALMEY:BOBOYE-2,135,0.51111114,29.518518,1,4,87089
FALMEY PEULH:FALMEY:BOBOYE-2,40,0.47499999,30.4,1,2,23044
FAN DO U DJADI:HARIKANASSOU:BOBOYE-3,109,0.5321101,30.807339,1,5,83053
FAN DO U DJIBO:HARIKANASSOU:BOBOYE-3,54,0.53703701,29.814816,1,5,43041.5
FAN DO U:KOFFO:BOBOYE-4,23,0.60869563,30.086956,1,1,21790
FAN DOUBALI BALI:FANDOU:BOBOYE-2,294,0.55782312,30.612246,1,3,193368.5
FANDOGA (KOKIREY:KOKIRE MODI:LOGA-1,55,0.5090909,30.636364,0,4,34100.5
FANDOGA DJOBEIZE KOIRA:TONKOSSARE:BOBOYE-5,78,0.5,29.064102,0,6,46536
FANDOU SEKOU KOUARA:MOUSSADEY BERI:LOGA,422,0.49526066,33.232227,1,19,352061
FANTOU (BERI YAYE):KOKIRE MODI:LOGA-1,112,0.44642857,32.651787,0,7,70469
FANTOUYAN:LOGA:LOGA-2,60,0.51666665,32.983334,1,2,42511.5
FAREIZE:SABOULA:BOBOYE-5,103,0.55339807,30.805826,1,2,77269
FAREY GOROU KAINA:MOUSSADEY BERI:LOGA,156,0.5,30.108974,1,7,124043.5
FATALARE:FANDOU:BOBOYE-2,111,0.54954952,28.837837,0,4,98472
FONDOGA LYBIE:FABIDJI:BOBOYE-2,30,0.40000001,28.666666,1,1,20110
FONDOGA TINNI BABA:FABIDJI:BOBOYE-2,54,0.48148149,29.962963,1,5,39554
FONI KOIRA:LOGA:LOGA,118,0.47457626,31.279661,0,8,86976
